NO,Nama jamu,Khasiat,jumlah_kata
178,virginity spray,"['wangi', 'vagina']",2
179,empot-empot ayam super,"['gairah', 'hubung', 'suami', 'istri', 'serap', 'lebih', 'lendir', 'putih', 'cegah', 'hilang', 'bau', 'sedap', 'wanita', 'hilang', 'bau', 'badan', 'encang', 'otot', 'wanita', 'lahir', 'kembali', 'gadis', 'perawan', 'anjur', 'minum', 'haidmasa', 'nifas']",27
180,galian rapet awet muda,"['gairah', 'hubung', 'suami', 'istri', 'serap', 'lebih', 'lendir', 'putih', 'cegah', 'hilang', 'bau', 'sedap', 'wanita', 'hilang', 'bau', 'badan', 'konsumsi', 'gadis', 'remaja', 'kembali', 'gadis', 'perawan', 'anjur', 'minum', 'haidmasa', 'nifas']",26
181,serbuk nikmat surga,"['tambah', 'nikmat', 'tubuh', 'gairah', 'hubung', 'suami', 'istri', 'serap', 'lebih', 'lendir', 'putih', 'hilang', 'bau', 'sedap', 'wanita', 'anjur', 'minum', 'haidmasa', 'nifas']",19
182,Bedak madu,"['angkat', 'sel', 'kulit', 'mati', 'cegah', 'timbul', 'jerawat', 'hilang', 'flek', 'hitam', 'wajah', 'hilang', 'mata', 'panda', 'hilang', 'biang', 'keringat']",17
183,Gemuk Sehat,"['tambah', 'nafsu', 'makan', 'bersih', 'jerawat', 'halus', 'kulit', 'hilang', 'bau', 'mulut', 'bau', 'badan', 'tubuh', 'padat', 'isi', 'montok', 'tambah', 'semangat', 'kerja']",19
184,Montok Payudara,"['tubuh', 'montok', 'isi', 'langsing', 'singset', 'tubuh', 'encang', 'payudara', 'hilang', 'pegal', 'cape', 'tambah', 'semangat', 'kerja', 'ganti', 'sel', 'kulit', 'mati', 'kulit', 'halus', 'seri']",21
185,Peluntur Lemak,"['larut', 'lemak', 'tubuh', 'kurang', 'nafsu', 'makan', 'susut', 'lemak', 'perut', 'turun', 'kolesterol', 'lancar', 'bab']",13
186,empot-empotan,"['obat', 'putih', 'sehat', 'singset', 'badan', 'tambah', 'gairah', 'hubung', 'suamiistri', 'obat', 'gatal', 'hilang', 'bau', 'badan', 'bau', 'mulut', 'cocok', 'bulan', 'kuat', 'otot', 'muda']",21
187,Kuat Semangat Helbeh Mutiara,"['atas', 'lemah', 'syahwat', 'sakit', 'pinggang', 'rematik', 'encok', 'dll', 'helbeh', 'mutiara', 'rangsang', 'otot', 'syaraf', 'lemah', 'organ', 'tubuh', 'hilang', 'jantung', 'debar', 'letih', 'lesu', 'asam', 'urat', 'hilang', 'nyeri', 'tulang', 'darah']",27
188,jamu kuat Helbeh Mutiara,"['hilang', 'letih', 'tambah', 'tenaga', 'energi', 'obat', 'lemah', 'syahwat', 'obat', 'jantung', 'debar', 'hilang', 'sakit', 'pinggang', 'hilang', 'rematikencok', 'kurang', 'asam', 'urat', 'hancur', 'batu', 'ginjal']",22
189,jamu kuat pria dewasa semalam di madura,"['tingkat', 'stamina', 'daya', 'tubuh', 'pria', 'hubung', 'intim']",7
190,jamu helbeh semangat ramuan herbal madura,"['kuat', 'badan', 'cerdas', 'otak', 'cegah', 'rematik', 'tambah', 'semangat', 'sembuh', 'batuk', 'asma', 'sembuh', 'sakit', 'pinggang']",14
191,jamu sariwangi ramuan madura,"['bantu', 'hilang', 'bau', 'mulut', 'bau', 'badan', 'pria', 'wanita', 'produk', 'sari', 'wangi', 'jamu', 'herbal', 'bantu', 'hilang', 'bau', 'mulut', 'bau', 'badan', 'keringat', 'bau', 'tubuh', 'manusia', 'bau', 'mulut', 'sumber', 'perut', 'cerna']",28
192,Serimpang,"['sehat', 'tubuh', 'badan', 'fresh']",4
193,Lancar darah,"['lancar', 'keluar', 'darah', 'cegah', 'kurang', 'sakit', 'perut', 'sakit', 'pinggang', 'pusing', 'nyeri', 'timbul']",12
194,jamu tradisional madura kecantikan,"['jaga', 'badan', 'sehat', 'segar', 'awet', 'muda', 'cegah', 'timbul', 'jerawat', 'langsing', 'tubuh', 'encang', 'tubuh', 'kurang', 'bau', 'badan']",16
195,jamu gendong klasik madura(JKM),"['jaga', 'bersih', 'miss', 'v', 'cegah', 'putih', 'hilang', 'bau', 'sedap', 'hilang', 'gatal', 'gatal', 'kurang', 'lendir', 'lebih', 'rapat', 'miss', 'v', 'empot', 'empot', 'miss', 'v', 'keset', 'harum', 'encang', 'otot', 'otot', 'miss', 'v', 'cocok', 'susu', 'lancar', 'haid', 'mendetox', 'kotor', 'rahim']",36
196,ramuan tradisional madura,"['asma', 'rematik', 'tekan', 'darah', 'kencing', 'manis', 'kencing', 'batu', 'ginjal', 'amandel', 'tumor', 'migrain', 'liver', 'alergi', 'maag', 'maag', 'lemah', 'jantung', 'exim', 'nafsu', 'makan', 'darah', 'asam', 'urat']",24
197,jamu sehat bugar,"['bantu', 'sembuh', 'asma', 'obat', 'rematik', 'obat', 'tekan', 'darah', 'bantu', 'sembuh', 'kencing', 'manis', 'diabetes', 'bantu', 'sembuh', 'kencing', 'batu', 'bantu', 'sembuh', 'sakit', 'ginjal', 'bantu', 'sembuh', 'amandel', 'bantu', 'menyembuhkantumor', 'bantu', 'sembuh', 'migrain', 'sakit', 'kepala', 'bantu', 'sembuh', 'liver', 'hepatitis', 'bantu', 'sembuh', 'alergi', 'bantu', 'sembuh', 'sembuh', 'maag', 'bantu', 'sembuh', 'lemah', 'jantung', 'bantu', 'obat', 'eksim', 'sakit', 'kulit', 'tambah', 'nafsu', 'makan', 'bantu', 'sembuh', 'darah', 'bantu', 'sembuh', 'lemah', 'syahwat', 'bantu', 'sembuh', 'asam', 'urat']",65
198,galian singset (susut perut),"['kurang', 'lemak', 'tubuh']",3
199,super empot,"['encang', 'otot', 'otot', 'wanita', 'kurang', 'lendir', 'daerah', 'wanita', 'puas', 'hubung', 'suami', 'istri', 'jaga', 'sehat', 'wanita', 'jaga', 'awet', 'muda']",18
200,super rapet,"['bantu', 'kurang', 'lendir']",3
201,JAMU PEGEL LINU,"['atas', 'gatal', 'gatal', 'bau', 'sedap', 'wanita']",6
202,galian rapet,"['rapat', 'mencengkram', 'hubung', 'intimhingga', 'lestari', 'hubung', 'suami', 'istri']",8
203,jamu dalimah putih,"['awet', 'muda', 'perempuan']",3
204,GALIAN SEHAT / MONTOK,"['pil', 'jamu', 'ramu', 'madura', 'wanita', 'pria', 'nafsu', 'makan', 'badan', 'kurus', 'muka', 'pucat', 'sakit', 'badan', 'lemah', 'lainlain', 'minum', 'jamu', 'atur', 'badan', 'sehat', 'segar', 'montok', 'padat', 'isi']",25
205,minyak zaitun,"['encang', 'halus', 'kulit', 'muka', 'tubuh', 'kulit', 'sisik', 'pecahpecah', 'kasar', 'ganti', 'pelembab', 'minyak', 'urutpijat', 'dewasa', 'anakbayi']",15
206,super pria,"['sembuh', 'lemah', 'syahwat', 'impotensi', 'laki', 'laki', 'tambah', 'gairah', 'pria']",9
207,empot v,"['lancar', 'menstruasi', 'encang', 'kulitmengatasi', 'payudara', 'kendur', 'encang', 'missv', 'obat', 'kista', 'cegah', 'kanker', 'payudara', 'kuat', 'pinggang', 'bersih', 'bakteri', 'jamur', 'missv', 'putih']",20
208,galian montok,"['encang', 'besar', 'payudara', 'jaga', 'tubuh', 'ideal', 'encang', 'halus', 'kulit', 'awet', 'muda']",11
209,harum asmara,"['rapat', 'luntur', 'miss', 'v', 'atas', 'bau', 'sedap', 'gatal', 'gatal', 'organ', 'intim', 'atas', 'cair', 'harum', 'area', 'vagina', 'sembuh', 'putih']",18
210,Jamu sehat wanita,"['tambah', 'stamina', 'jaga', 'sehat', 'tubuh', 'khusus', 'wanita']",7
211,galian singset,"['kurang', 'lebih', 'lemak', 'perut', 'paha', 'kaki', 'kecil', 'perut', 'jaga', 'bentuk', 'tubuh', 'ideal', 'tingkat', 'hormon', 'tubuh', 'wanita', 'cerah', 'segar', 'kulit', 'encang', 'kulit', 'jaga', 'tampil', 'awet', 'muda', 'hilang', 'aroma', 'badan', 'sedap', 'tubuh', 'harum', 'wangi', 'tampil', 'seksi', 'percaya']",35
212,penyubur ,"['kuat', 'rahim', 'tambah', 'hormon', 'subur', 'kandung']",6
213,bersalin kapsul,"['cepat', 'sembuh', 'luka', 'lahir', 'bersih', 'rahim', 'kurang', 'bau', 'sedap', 'pulih', 'stamina', 'vitalitaskulit', 'kendur', 'singsetorgan', 'wanita', 'rapet', 'keset']",17
214,bersalin bubuk,"['tuntas', 'darah', 'kotor', 'sehat', 'dn', 'bayi', 'lahir', 'lancar', 'asi']",9
215,jamu paket penganten,"['harum', 'bau', 'badan', 'kurang', 'keringat', 'sembuh', 'putih', 'encang', 'otot', 'wanita']",10
216,lulur susu,"['bantu', 'mutih', 'halus', 'bersih', 'harum', 'kulit', 'tubuh', 'alami']",8
217,vitmil,"['bantu', 'pelihara', 'sehat', 'wanita', 'bantu', 'segar', 'badan']",7
218,Jamu singset,"['bikin', 'singset', 'rapat', 'langsing', 'sehat', 'badan']",6
219,Parem Bangkes,"['kembali', 'kulit', 'kendur', 'wanita', 'hangat', 'cantik', 'wanita']",7
220,Jamu Pejja,"['lancar', 'produksi', 'asi', 'kembali', 'organ', 'reproduksi', 'hamil', 'sehat', 'bayi', 'lahir', 'awet', 'muda']",12
221,Ganita-V (Rukun Wanita),"['bantu', 'kurang', 'lendir', 'daerah', 'wanita', 'alami', 'gagal', 'hubung', 'putih', 'lelah', 'stress', 'hilang', 'bau', 'enak', 'encang', 'otot', 'wanita', 'sembuh', 'putih']",19
222,Lancar Bulan (Nifas/Pluntur),"['bantu', 'lancar', 'nyeri', 'haid', 'reda', 'nyeri', 'haid']",7
223,Sepet Wangi (Sari Wangi),"['bantu', 'kurang', 'lendir', 'lebih', 'area', 'wanita', 'hilang', 'bau', 'badan', 'timbul', 'keringat', 'hilang', 'bau', 'mulut', 'subur', 'tumbuh', 'kulit']",17
224,GL- Rapet Madura ( Galian Rapet),"['atas', 'bau', 'badan', 'bantu', 'kurang', 'putih', 'hilang', 'lendir', 'bau', 'enak', 'area', 'wanita', 'rapat', 'kecil', 'vagina', 'tambah', 'gairah', 'sex']",18
225,Bengkes (Empot - Empot),"['bantu', 'segar', 'badan', 'bantu', 'kurang', 'lendir', 'lebih', 'area', 'wanita']",9
226,Wangibungai (Keputihan),"['bantu', 'kurang', 'lendir', 'daerah', 'wanita']",5
227,Sehat Lelaqi,"['bantu', 'sehat', 'badan', 'reda', 'pegal', 'linu', 'nyeri', 'otot', 'pinggang', 'lancar', 'edar', 'darah']",12
228,Timung Penganten,"['segar', 'harum', 'tubuh', 'wanita']",4
229,Sabun Sari Rapet,"['jaga', 'bersih', 'vagina']",3
230,Majasmara,"['encang', 'wajah', 'kulit', 'encang', 'payudara', 'encang', 'otot', 'otot', 'wanita', 'lancar', 'haid']",11
231,Minyak Jinten Hitam,"['tingkat', 'kebal', 'tubuh', 'sakit', 'obat', 'rematik', 'obat', 'asma']",8
232,Minyak Zaitun,"['reda', 'batuk', 'kuat', 'stamina', 'cegah', 'kanker', 'obat', 'kencing', 'manis', 'cegah', 'ganggu', 'cerna', 'obat', 'cacing', 'perut']",15
233,Propolis,"['tingkat', 'kebal', 'tubuh', 'lancar', 'edar', 'darah', 'tambah', 'sistem', 'hormon', 'subur', 'wanita']",11
234,Lulur Hitam Tradisional,"['cerah', 'kulit', 'wanita', 'halus', 'kulit', 'hilang', 'flek', 'hitam', 'wajah', 'hilang', 'stretch', 'mark']",12
235,Empot Ayam Madura Super,"['bantu', 'kuat', 'otot', 'vagina', 'denyut', 'nikmat', 'istimewa', 'vagina', 'bantu', 'keras', 'otot', 'vagina', 'longgar', 'bantu', 'kurang', 'putih', 'gatal', 'gatal', 'alat', 'kelamin', 'wanita']",21
236,Tongkat Asli madura Premium Rose,"['angkat', 'lendir', 'kotor', 'miss', 'v', 'jadi', 'miss', 'v', 'rapat', 'kencang', 'bersih', 'atas', 'putih', 'kuat', 'otot', 'otot', 'wanita', 'hilang', 'gatal', 'gatal', 'akibat', 'jamur', 'muas', 'pasang']",24
237,Bikin Gemuk,"['tambah', 'berat', 'badan']",3
238,Spray Virgin (Madura asmara spray),"['rapat', 'harum', 'miss', 'v', 'perawan', 'bantu', 'kurang', 'lendir', 'lebih', 'bau', 'sedap']",11
239,Dupa (Ratus),"['campur', 'mandi', 'rempah', 'gurah', 'vagina']",5
240,Sehat lelaki,"['jaga', 'tubuh', 'mudah', 'lelah', 'lancar', 'edar', 'darah', 'lancar', 'harmonis', 'hubung']",10
241,Jamu Galian Parem (Parem Tabuk),"['jamu', 'minum', 'lahir', 'tuntas', 'keluar', 'darah', 'nifas', 'hilang', 'letih', 'lesu', 'pegal', 'pegal', 'lahir']",13
242,Black Garlic (Bawang Hitam Tunggal),"['jaga', 'sehat', 'jantung', 'baik', 'metabolisme', 'tubuh', 'tingkat', 'imunitas', 'tubuh', 'kurang', 'resiko', 'kanker', 'antioksidan', 'turun', 'kadar', 'kolesterol', 'kontrol', 'gula', 'cegah', 'tua', 'lindung', 'infeksi']",22
243,Jamu Jakula,"['tambah', 'jantan', 'kuat', 'sex', 'cepat', 'ereksi', 'lemah', 'syahwat', 'obat', 'ejakulasi', 'tambah', 'frekuensi', 'hubung', 'intim', 'tahan']",15
244,Sehat Laki-Laki (Perkasa),"['stamina', 'hubung', 'lakilaki', 'tambah', 'hormon', 'kental', 'sperma', 'cegah', 'ejakulasi']",9
245,Helbeh Mutiara (Jamu Kuat),"['tambah', 'stamina', 'pria', 'hubung', 'atas', 'ejakulasi', 'gairah', 'tubuh', 'hubung', 'membengkitkan', 'napsu', 'hubung']",12
246,Jamu tradisional madura sehat,"['jamu', 'minum', 'lahir', 'tuntas', 'keluar', 'darah', 'nifas', 'hilang', 'letih', 'lesu', 'pegal', 'pegal', 'lahir']",13
247,Ramuan Ummi Jafir,"['segar', 'badan', 'lancar', 'cerna', 'kuat', 'imun', 'hangat', 'badan']",8
248,Jamu Sakera,"['turun', 'gula', 'darah', 'kolesterol', 'trigliserida', 'kendali', 'hipertensi', 'tingkat', 'sehat', 'jantung', 'tingkat', 'sehat', 'ginjal', 'turun', 'asam', 'urat', 'cegah', 'kanker', 'tingkat', 'imun']",20
249,Lanange Jagad,"['baik', 'ejakulasi', 'kuat', 'tahan', 'berharihari']",5
250,Kuncup wangi,"['anti', 'putih', 'lendir', 'anti', 'bau', 'sedap', 'badan', 'miss', 'v', 'rapat', 'otot', 'miss', 'v', 'antiseptik', 'anti', 'bakteri', 'hilang', 'gatal', 'miss', 'v']",20
251,Sakera Ramuan Pria Dasyat,"['tingkat', 'gairah', 'sex', 'baik', 'ejakulasi', 'kuat', 'tahan', 'berharihari']",8
252,Jamu Wiraraja,"['tingkat', 'segar', 'badan', 'pulih', 'stamina', 'lancar', 'edar', 'darah']",8
253,Manjavikan,"['atas', 'putih', 'lancar', 'haid', 'atas', 'nyeri', 'haid', 'lancar', 'asi', 'bantu', 'promil', 'rapat', 'miss', 'v']",14
254,Rukun Wanita (Sorga),"['alami', 'gelap', 'hubung', 'suami', 'istri', 'hilang', 'bau', 'sedap', 'miss', 'v', 'encang', 'otot', 'wanita']",13
255,Madu Asmara Spray (Kecil),"['hilang', 'putih', 'rapat', 'miss', 'v', 'miss', 'v', 'harum', 'goda', 'pasang', 'pasutri']",11
256,Bubuk Madu Asmara,"['pasang', 'suami', 'istri', 'miss', 'v', 'keset', 'rapet', 'suami', 'tahan']",9
257,Jantala (Tahan Lama),"['tahan', 'hubung', 'suami', 'istri', 'tingkat', 'stamina', 'suami']",7
258,Harumita,"['encang', 'otot', 'otot', 'wanita', 'kurang', 'lendir', 'daerah', 'wanita', 'puas', 'hubung', 'suami', 'istri', 'jaga', 'sehat', 'wanita', 'jaga', 'awet', 'muda']",18
259,sari rapet,"['tambah', 'nikmat', 'hubung', 'suami', 'istri', 'bahagia', 'suami', 'istri', 'hilang', 'gatal', 'bau', 'miss', 'v']",13
260,Bubuk Asmara,"['tahan', 'cinta', 'suami', 'istri']",4
261,Jamu Ratu Madura,"['vagina', 'rapet', 'perawan', 'hilang', 'becek', 'tambah', 'gairah', 'seksual', 'jepit', 'hubung']",10
262,Jamu Wasir,"['obat', 'sakit', 'wasir', 'ambeien', 'ambeien', 'akibat', 'sembuh', 'total']",8
263,Jamu Super Pengental Sperma,"['tingkat', 'kualitas', 'sperma', 'hubung', 'suami', 'istri', 'jadi', 'ereksi', 'kuat', 'sperma', 'deras']",11
264,Jamu Super Rasa Kopi,"['asma', 'asam', 'urat', 'maag', 'amandel', 'kencing', 'manis', 'eksim', 'darah']",9
265,Jamu Khusus Penganten,"['harum', 'segar', 'badan', 'hilang', 'lesu', 'kuat', 'muka', 'pucat', 'tambah', 'gairah', 'pengantin']",11
266,Jamu Asam Urat,"['sembuh', 'nyeri', 'sendi', 'bengkak', 'merah', 'panas', 'sebab', 'lebih', 'asam', 'urat', 'badan', 'letih', 'lesu', 'lemah']",14
267,Sehat Pria /Perkasa (Tambah Syahwat),"['sembuh', 'lemah', 'syahwat', 'impotensi', 'laki', 'laki', 'tambah', 'gairah', 'pria', 'hubung', 'suami', 'istri']",12
268,Godokan Rapet Wangi,"['puas', 'hubung', 'suami', 'istri', 'kesat', 'ana', 'awat', 'jamu', 'pengantin']",9
269,Jamu Kuat Apatheng,"['tingkat', 'gairah', 'sex', 'tambah', 'daya', 'tahan', 'pria', 'lancar', 'edar', 'darah', 'area', 'pria', 'sehat', 'kuat', 'cegah', 'sakit', 'kelamin', 'atas', 'sakit', 'pinggang', 'pegal', 'linu']",22
270,Jamu Gingseng  Lanange,"['pasang', 'suami', 'istri', 'baik', 'ejakulasi', 'kuat', 'tahan', 'hari']",8
271,Kapsul MM,"['bangkit', 'gairah', 'libido', 'lakilaki', 'obat', 'impotensi', 'encang', 'ereksi', 'tahan', 'ulang', 'ulang']",11
272,Kapsul Herbal ,"['pria', 'perkasa', 'kuat', 'tahan', 'aman', 'efek', 'samping', 'tempur', 'subuh']",9
273,Jamu melak medem,"['sembuh', 'putih', 'rapat', 'miss', 'v', 'nikmat', 'hubung', 'suami', 'istri', 'encang', 'intim', 'hubung']",12
274, Serbuk kuat & Tahan Lama suramadu,"['tambah', 'stamina', 'daya', 'tahan', 'sex', 'cegah', 'ejakulasi']",7
275,teh jaku,"['nafsu', 'makan', 'jaga', 'kesehaan', 'lambung', 'liver']",6
276,jahe merah +,"['menjegah', 'rematik', 'asam', 'urta', 'kolesterol']",5
277,pinang mudah+,"['kuat', 'gusi']",2
278,abatusauda,"['jenis', 'sakit']",2
279,minyak komanding saebu,"['reda', 'nyeri', 'dian', 'minyak', 'urut']",5
280,jamu kolestrol,"['reda', 'kolestrol', 'asam', 'urat', 'kadar', 'gula']",6
281,jamu mata,"['reda', 'syaraf', 'mataa']",3
282,jamu kanker payudara,"['obat', 'kanker', 'payudara']",3
