NO,Nama jamu,Khasiat,jumlah_kata
52,Sehat Wanita,"['madat', 'tubuh', 'encang', 'payudara', 'kendur', 'hilang', 'bau', 'badan', 'segar', 'tubuh', 'hilang', 'letih', 'lesu', 'capek', 'encang', 'otot', 'wanita', 'wanita', 'habis', 'lahir', 'bersih', 'darah', 'nifas', 'merapatkankan', 'wanita', 'aman', 'konsumsi', 'remaja', 'perempuan', 'saran', 'konsumsi', 'hamil']",32
53,Sehat Laki-laki ( Helbeh),"['atas', 'lemah', 'syahwat', 'baik', 'kualitas', 'sperma', 'tambah', 'tingkat', 'stamina', 'pria', 'wanita']",11
54,Natural Lulur Sari temugiring,"['halus', 'cerah', 'kulit', 'melembabkan', 'hilang', 'bekas', 'noda', 'tubuh']",8
55,Empot Sari Rapet,"['kembali', 'perawan', 'tambah', 'harmonis', 'rumah', 'tangga', 'madat', 'tubuh', 'badan', 'segar']",10
56,Awet Muda,"['bantu', 'pelihara', 'cantik']",3
57,Ma'jun,"['sembuh', 'sakit', 'pinggang', 'pegal', 'linu', 'encok', 'rematik', 'hilang', 'lelah', 'tambah', 'stamina', 'syahwat']",12
58,Sale Karang,"['sakit', 'gigi', 'gusi', 'bengkak', 'gusi', 'darah']",6
59,Ibu Hamil,"['biar', 'mudah', 'capek']",3
60,Diabet,"['stabil', 'kadar', 'gula']",3
61,Nafsu Makan,"['tambah', 'nafsu', 'makan']",3
62,Sehat Pria,"['tambah', 'tenaga', 'lelaki', 'hubung', 'intim']",5
63,Sehat Wanita,"['tambah', 'stamina', 'perempuan', 'jaga', 'organ', 'wanita']",6
64,Nafsu Makan,"['tambah', 'nafsu', 'makan']",3
65,Gatal-gatal,"['sembuh', 'gatal', 'gatal', 'alergi']",4
66,Ibu Melahirkan,"['lancar', 'asi']",2
67,Jamu Sakit Pinggang,"['reda', 'nyeri', 'pinggang', 'tambah', 'stamina']",5
68,Jaselang,"['tambah', 'stamina', 'pegal', 'linu', 'capek', 'capek', 'hangat', 'badan']",8
69,Macho,"['tambah', 'stamina', 'pria', 'ereksi', 'tingkat', 'libido', 'obat', 'pegal', 'linu', 'capek', 'capek', 'hangat', 'badan']",13
70,Kusir,"['hilang', 'bau', 'badan', 'sakit', 'kepala']",5
71,Sarpet Manjakani,"['cegah', 'putih', 'hilang', 'bau', 'badan', 'rapat', 'vagina']",7
72,Jamu Sondhep,"['reda', 'nyeri', 'otot', 'bahu', 'otot', 'pinggang', 'lancar', 'edar', 'darah']",9
73,Sale Karang,"['sakit', 'gigi', 'gusi', 'bengkak', 'gusi', 'darah']",6
74,Daun sirih,"['hilang', 'bau', 'badan', 'obat', 'sariawan', 'hilang', 'bulut', 'cegah', 'keropos', 'gigi', 'tulang']",11
75,Kuda Hitam,"['tingkat', 'kuat', 'pria', 'hubung']",4
76,Jahe Merah Plus,"['tambah', 'stamina', 'tubuh', 'pria', 'wanita', 'hubung']",6
77,ekstrak jahe,"['obat', 'gejala', 'masuk', 'angin']",4
78,ekstrak temulawak,"['obat', 'sakit', 'asam', 'lambung', 'tambah', 'nafsu', 'makan']",7
79,ektrak kunyit,"['obat', 'sakit', 'asam', 'lambung']",4
80,feminia,"['tingkat', 'kuat', 'pria']",3
81,wedang jahe merah,"['tambah', 'stamina', 'tubuh']",3
82,kunyit asam madu,"['rawat', 'sehat', 'lambung', 'obat', 'panas']",5
83,manjakani,"['rawat', 'sehat', 'wanita', 'lancar', 'haid', 'putih']",6
84,kuda hitam cair,"['tingkat', 'kuat', 'pria', 'hubung']",4
85,ETABARI,"['derita', 'kencing', 'manis', 'diabetes']",4
86,Subur Kandungan,"['subur', 'kandung', 'kuat', 'kandung', 'lemah']",5
87,TOLAK AMBEYEN,"['sembuh', 'ambeien', 'jaga', 'sehat']",4
88,TOLAK BATUK/ASMA,"['bantu', 'obat', 'batuk', 'bantu', 'obat', 'sakit', 'alergi', 'nafas', 'sakit', 'asma', 'bantu', 'turun', 'panas', 'demam', 'sebab', 'flu', 'radang', 'tenggorok']",18
89,Susut perut Tresna,"['bantu', 'kurang', 'lemak', 'tubuh', 'perut', 'bantu', 'turun', 'berat', 'badan']",9
90,PANYAMAN EMPOT-EMPOT,"['bantu', 'rapat', 'organ', 'wanita', 'encang', 'otot', 'otot', 'rahim', 'vagina', 'keset', 'sensitif', 'bantu', 'wanita', 'cepat', 'capai', 'orgasme', 'getarangetaran', 'sentuh']",18
